time_s,pack_voltage_V,minimum_cell_voltage_V,maximum_cell_voltage_V,cell_voltage_spread_V,minimum_cell_soc,maximum_cell_soc,cell_soc_spread
0.0,15.800624136037689,3.9095096089426438,3.982064065887455,0.07255445694481111,0.72,0.8,0.08000000000000007
10.0,15.762586676863474,3.9005850174999863,3.972390945979345,0.07180592847935863,0.7185224586288416,0.7986111111111112,0.0800886524822696
20.0,15.738487354827614,3.895038819818678,3.9660972051956547,0.07105838537697684,0.7170449172576832,0.7972222222222223,0.08017730496453912
30.0,15.720111712037834,3.8908086867981164,3.9612476344743626,0.07043894767624614,0.7155673758865247,0.7958333333333334,0.08026595744680864
40.0,15.704738233949353,3.8872543808289963,3.9571674746125933,0.069913093783597,0.7140898345153665,0.7944444444444445,0.08035460992907806
50.0,15.69124650452067,3.8841159364853306,3.953575405741409,0.0694594692560786,0.712612293144208,0.7930555555555556,0.08044326241134758
60.0,15.679051901486892,3.8812575025325553,3.950324291067963,0.06906678853540749,0.7111347517730496,0.7916666666666667,0.08053191489361711
70.0,15.667815422383583,3.8786011772920603,3.9473279781349504,0.06872680084289007,0.7096572104018912,0.7902777777777779,0.08062056737588663
80.0,15.65733013815959,3.8760989574652718,3.944534263223599,0.06843530575832713,0.7081796690307328,0.788888888888889,0.08070921985815616
90.0,15.647446532968818,3.873716119324226,3.941905368169651,0.06818924884542499,0.7067021276595744,0.7875000000000001,0.08079787234042568
100.0,15.63805591556691,3.8714274892084686,3.9394136245030285,0.06798613529455988,0.705224586288416,0.7861111111111112,0.0808865248226952
110.0,15.629079021736294,3.8692146866094315,3.937038904395829,0.06782421778639769,0.7037470449172577,0.7847222222222222,0.08097517730496451
120.0,15.62045609280109,3.86706380971679,3.934766066204643,0.06770225648785289,0.7022695035460993,0.7833333333333333,0.08106382978723403
130.0,15.612138858653696,3.8649634719803276,3.932582982655176,0.06761951067484828,0.7007919621749409,0.7819444444444444,0.08115248226950356
140.0,15.604086126501615,3.86290407488738,3.9304791891940356,0.06757511430665541,0.6993144208037825,0.7805555555555556,0.08124113475177308
150.0,15.596266211716875,3.8608780133581333,3.928446816522107,0.06756880316397362,0.6978368794326241,0.7791666666666667,0.0813297872340426
160.0,15.588651431665102,3.8588791892981202,3.9264785999096405,0.0675994106115203,0.6963593380614657,0.7777777777777778,0.08141843971631213
170.0,15.581219292367653,3.8569019243031,3.9245692442507525,0.06766731994765252,0.6948817966903073,0.7763888888888889,0.08150709219858165
180.0,15.57395067046753,3.8549421777189807,3.9227136496813255,0.06777147196234479,0.693404255319149,0.775,0.08159574468085107
190.0,15.566827526665156,3.852995661231661,3.920907416218198,0.0679117549865369,0.6919267139479905,0.7736111111111111,0.08168439716312059
200.0,15.55983407408185,3.851058928939391,3.9191465007582984,0.06808757181890757,0.6904491725768321,0.7722222222222223,0.08177304964539012
210.0,15.55295659803928,3.8491289299315437,3.9174274834134066,0.06829855348186298,0.6889716312056737,0.7708333333333334,0.08186170212765964
220.0,15.546182665142918,3.84720331177466,3.9157470442978424,0.06854373252318258,0.6874940898345153,0.7694444444444445,0.08195035460992917
