cell,time_s,current_A,voltage_V,soc,negative_average_mol_m3,negative_surface_mol_m3,negative_gradient_mol_m3,positive_average_mol_m3,positive_surface_mol_m3,positive_gradient_mol_m3,negative_overpotential_V,positive_overpotential_V,total_overpotential_V
B,1120.0,5.0,3.590793221100392,0.5055555555555559,16168.274533035485,15267.915052456481,-900.3594805790035,33369.71367270276,38330.90757890801,4961.193906205248,0.07857545499897096,-0.01285585824317626,-0.09143131324214722
B,1130.0,5.0,3.5881820082632854,0.5027777777777781,16090.46927697912,15188.248282407692,-902.2209945714276,33433.969405475356,38471.49048051538,5037.521075040022,0.07859374781744406,-0.012868647954505413,-0.09146239577194948
B,1140.0,5.0,3.585648070583285,0.5000000000000003,16012.456019274261,15108.708072066871,-903.7479472073901,33498.770262507205,38610.14377069601,5111.373508188808,0.0786131147468093,-0.012881557879567726,-0.09149467262637703
B,1150.0,5.0,3.5831850386888093,0.49722222222222257,15934.271006534798,15029.272026300037,-904.9989802347609,33564.12724767044,38747.0086452498,5182.88139757936,0.07863355939645224,-0.012894591806029254,-0.09152815120248149
B,1160.0,5.0,3.5807869049246106,0.4944444444444448,15855.948373571644,14949.918375604428,-906.0299979672163,33630.05038773561,38882.22251958524,5252.1721318496275,0.07865508660207918,-0.012907754371662592,-0.09156284097374177
B,1170.0,5.0,3.578448871177294,0.49166666666666703,15777.504797602125,14870.640245498633,-906.8645521034923,33696.55022860512,39015.86881964096,5319.318591035837,0.07867769821722922,-0.012921045964917808,-0.09159874418214703
B,1180.0,5.0,3.5761657389032844,0.48888888888888926,15698.964616225068,14791.420065423526,-907.5445508015418,33763.63499739665,39148.06779976932,5384.43280237267,0.0787013999134584,-0.012934471466233109,-0.09163587137969151
B,1190.0,5.0,3.573933015886903,0.4861111111111115,15620.34693443356,14712.246962569023,-908.099971864538,33831.31218854958,39278.91222754539,5447.6000389958135,0.07872619636287377,-0.012948033893879407,-0.09167423025675318
B,1200.0,5.0,3.571746381268798,0.4833333333333337,15541.67039622587,14633.108801800166,-908.5615944257042,33899.58778278796,39408.49729660526,5508.9095138173,0.07875209343503198,-0.012961737304874259,-0.09171383073990624
B,1200.0000000000002,0.0,3.663460212008704,0.48333333333333367,15541.67039622587,14633.108801800166,-908.5615944257042,33899.58778278796,39408.49729660526,5508.9095138173,0.0,0.0,0.0
B,1210.0,0.0,3.674455967907882,0.48333333333333367,15493.992347571102,14873.386786660247,-620.6055609108553,33932.33926249298,38757.832967750575,4825.493705257599,0.0,0.0,0.0
B,1220.0,0.0,3.6810601369192595,0.48333333333333367,15450.820216227334,14954.492998080019,-496.32721814731485,33964.18561424792,38388.018130300756,4423.832516052833,0.0,0.0,0.0
B,1230.0,0.0,3.685820688754659,0.48333333333333367,15411.496109749918,15005.225560346862,-406.27054940305607,33995.43409082233,38131.87529333298,4136.44120251065,0.0,0.0,0.0
B,1240.0,0.0,3.6895949270965116,0.48333333333333367,15376.098465095705,15041.244235603011,-334.8542294926938,34026.241256216876,37934.83940856694,3908.598152350067,0.0,0.0,0.0
B,1250.0,0.0,3.6927477353082616,0.48333333333333367,15344.817831876973,15068.31489307734,-276.50293879963283,34056.701080820974,37774.19534759418,3717.494266773203,0.0,0.0,0.0
B,1260.0,0.0,3.6954690589051276,0.48333333333333367,15317.674821774266,15089.325633299692,-228.34918847457448,34086.875797892346,37638.32319915267,3551.447401260324,0.0,0.0,0.0
B,1270.0,0.0,3.697865917695702,0.48333333333333367,15294.470456652018,15105.930275686687,-188.54018096533036,34116.80813645288,37520.713626252225,3403.9054897993483,0.0,0.0,0.0
B,1280.0,0.0,3.700009789822102,0.48333333333333367,15274.848619949558,15119.236557508742,-155.61206244081586,34146.52854024951,37417.09814270758,3270.5696024580757,0.0,0.0,0.0
B,1290.0,0.0,3.701950090408256,0.48333333333333367,15258.385263646802,15129.999538219481,-128.38572542732072,34176.058485457164,37324.56535957885,3148.506874121689,0.0,0.0,0.0
B,1300.0,0.0,3.7037217824526034,0.48333333333333367,15244.65089014942,15138.760330473426,-105.89055967599415,34205.41253776009,37241.072852606405,3035.660314846318,0.0,0.0,0.0
B,1310.0,0.0,3.7053502927642916,0.48333333333333367,15233.235158505373,15145.915402134942,-87.3197563704307,34234.5995930172,37165.143455268044,2930.5438622508445,0.0,0.0,0.0
B,1320.0,0.0,3.706855250673117,0.48333333333333367,15223.768060729431,15151.768833306123,-71.99922742330818,34263.62394581689,37095.64870212553,2832.0247563086377,0.0,0.0,0.0
B,1320.0000000000002,2.5,3.651594012165641,0.48333333333333367,15223.768060729431,15151.768833306123,-71.99922742330818,34263.62394581689,37095.64870212553,2832.0247563086377,0.04883425279543527,-0.006426985712040545,-0.055261238507475816
B,1330.0,2.5,3.6445698886794085,0.4819444444444448,15200.408528312406,14996.921242158201,-203.4872861542044,34310.55037445143,37421.15919915148,3110.6088247000516,0.04886653212715436,-0.006439330753432487,-0.05530586288058685
B,1340.0,2.5,3.6406296177071287,0.4805555555555559,15176.135062079498,14920.772421803902,-255.36264027559628,34358.06859855527,37610.46313249507,3252.394533939798,0.04888366197343751,-0.00644686883758786,-0.055330530811025375
B,1350.0,2.5,3.6378510509106228,0.479166666666667,15151.0488033474,14859.092106237,-291.95669711039955,34406.020725333205,37746.638944911225,3340.61821957802,0.04889814662509141,-0.00645245637017249,-0.055350602995263905
B,1360.0,2.5,3.6356424682875224,0.47777777777777813,15124.919560939956,14804.224868040203,-320.69469289975314,34454.321056479195,37856.45228353063,3402.131227051432,0.04891149113504611,-0.00645706356897462,-0.05536855470402073
B,1370.0,2.5,3.633764635135457,0.47638888888888925,15097.492376868566,14753.365527474007,-344.12684939455903,34502.91232785773,37950.91379291704,3448.0014650593075,0.04892424851127827,-0.00646109955053205,-0.05538534806181032
B,1380.0,2.5,3.632101525846951,0.47500000000000037,15068.62282672124,14705.179346584113,-363.44348013712624,34551.75093263063,38035.41328605685,3483.662353426218,0.048936680269442166,-0.006464767308578025,-0.055401447578020194
B,1390.0,2.5,3.630585903947346,0.4736111111111115,15038.301976329996,14658.859173034976,-379.44280329502,34600.800509426736,38113.107356510256,3512.3068470835206,0.04894894771987555,-0.006468187753080631,-0.05541713547295618
B,1400.0,2.5,3.629178769222938,0.4722222222222226,15006.618120681447,14613.928782870566,-392.6893378108816,34650.02965556101,38185.827198839645,3535.7975432786334,0.04896114479698365,-0.006471431133488081,-0.05543257593047173
B,1410.0,2.5,3.6278536299551734,0.4708333333333337,14973.705395425704,14570.057439170903,-403.6479562548011,34699.41004419446,38254.8263648843,3555.4163206898374,0.04897333791775962,-0.006474546208594557,-0.05544788412635417
B,1420.0,2.5,3.626592751942654,0.46944444444444483,14939.720742842846,14527.015361949041,-412.70538089380534,34748.9159942169,38320.94366990383,3572.027675686928,0.048985573458708215,-0.0064775657074458036,-0.055463139166154016
B,1430.0,2.5,3.625383861046971,0.46805555555555595,14904.821134958538,14484.637120161136,-420.1840147974017,34798.524069707964,38384.7574760785,3586.233406370535,0.04899788497999746,-0.006480512183738148,-0.05547839716373561
B,1440.0,2.5,3.6242175644667087,0.46666666666666706,14869.147330984328,14442.79356926116,-426.3537617231668,34848.21279632701,38446.71226458492,3598.4994682579127,0.04901029945116114,-0.0064834031782343565,-0.0554937026293955
B,1450.0,2.5,3.6230862810828475,0.4652777777777782,14832.820909032143,14401.378350243054,-431.44255878908916,34897.96262753657,38507.1699246537,3609.207297117129,0.04902284015672426,-0.006486253252474379,-0.055509093409198636
B,1460.0,2.5,3.621984126791804,0.4638888888888893,14795.946995051456,14360.306488866336,-435.6405061851201,34947.75603709907,38566.41144906031,3618.655411961241,0.04903552637177931,-0.0064890738292005526,-0.055524600200979865
B,1470.0,2.5,3.6209067176415077,0.4625000000000004,14758.617001685832,14319.513131574296,-439.1038701115358,34997.577561586826,38624.6439757898,3627.066414202971,0.04904837307491748,-0.006491873315677726,-0.05554024639059521
B,1480.0,2.5,3.6198505798863323,0.4611111111111115,14720.909879020202,14278.946495527158,-441.9633834930446,35047.41370731381,38682.03062671198,3634.6169193981696,0.049061392601179137,-0.006494658371728741,-0.055556050972907875
B,1490.0,2.5,3.6188134677293062,0.45972222222222264,14682.89317036524,14238.571937823717,-444.3212325415225,35097.253046387494,38738.670572617775,3641.4175262302815,0.049074592892794366,-0.0064974328183174754,-0.05557202571111184
B,1500.0,2.5,3.6177928552879717,0.45833333333333376,14644.621187186367,14198.352501072257,-446.2686861141101,35147.08582706793,38794.68234507147,3647.596518003542,0.049087983513076396,-0.006500201624374164,-0.05558818513745056
B,1510.0,2.5,3.6167872754958226,0.4569444444444449,14606.138927835404,14158.26636039488,-447.8725674405232,35196.904244633435,38850.12763621622,3653.223391582782,0.04910156974613115,-0.006502967128344549,-0.055604536874475696
B,1520.0,2.5,3.6157948669960485,0.455555555555556,14567.482264016877,14118.287268567172,-449.19499544970495,35246.701997170385,38905.092912181324,3658.3909150109394,0.049115358945007945,-0.006505733034017458,-0.0556210919790254
B,1530.0,2.5,3.614814309938046,0.4541666666666671,14528.681437577887,14078.396977516011,-450.2844600618755,35296.47430154935,38959.6358722716,3663.161570722252,0.04912935626739378,-0.006508501733773333,-0.05563785800116711
B,1540.0,2.5,3.613844341597941,0.4527777777777782,14489.75951450325,14038.578874916717,-451.1806395865333,35346.21787258475,39013.81266014649,3667.594787561742,0.04914356672624173,-0.006511275643027667,-0.0556548423692694
B,1550.0,2.5,3.612883922178264,0.45138888888888934,14450.739209504056,13998.81953105312,-451.9196784509368,35395.930287760784,39067.66796601282,3671.737678252037,0.049157994575321724,-0.0065140566826322275,-0.05567205125795395
B,1560.0,2.5,3.6119321682335013,0.45000000000000046,14411.63576067126,13959.108685944182,-452.5270747270788,35445.610606078626,39121.23860868807,3675.6280026094464,0.04917264321937565,-0.006516846440522879,-0.05568948965989853
B,1570.0,2.5,3.6109883103264093,0.44861111111111157,14372.46533162802,13919.437564901737,-453.0277667262835,35495.25828581299,39174.55566832932,3679.297382516328,0.049187515756361974,-0.006519646266618156,-0.05570716202298013
B,1580.0,2.5,3.610051693351814,0.4472222222222227,14333.239299529116,13879.799646038638,-453.4396534904772,35544.87387479081,39227.64432659551,3682.770451804703,0.04920261463898533,-0.006522457251582171,-0.055725071890567496
B,1590.0,2.5,3.609121708304694,0.4458333333333338,14293.968083183781,13840.189069103388,-453.7790140803936,35594.45825412347,39280.5276893256,3686.069435202131,0.049217942228135816,-0.006525280418750735,-0.05574322264688655
B,1600.0,2.5,3.6081977577015003,0.4444444444444449,14254.660718483505,13800.600087563886,-454.06063091961914,35644.01244245261,39333.228763867715,3689.216321415108,0.049233500990666375,-0.006528116826401709,-0.055761617817068086
B,1610.0,2.5,3.607279363913027,0.44305555555555604,14215.323450010323,13761.029161930734,-454.294288079589,35693.53836733756,39385.763949261556,3692.2255819239945,0.04924929265501277,-0.006530967212906303,-0.055780259867919076
B,1620.0,2.5,3.606366152815365,0.44166666666666715,14175.959995290428,13721.474686526626,-454.4853087638021,35743.03873974805,39438.143840963254,3695.105101215202,0.04926531825642271,-0.006533832026525363,-0.05579915028294807
B,1630.0,2.5,3.605457552448729,0.44027777777777827,14136.578249058037,13681.930868679716,-454.64738037832103,35792.51445024563,39490.39120355413,3697.8767533084974,0.049281580614390176,-0.006536712407528159,-0.05581829302191833
B,1640.0,2.5,3.6045533004795383,0.4388888888888894,14097.178547066762,13642.398137127713,-454.7804099390487,35841.96907129003,39542.51057106625,3700.54149977622,0.0492980800851651,-0.006539608518970531,-0.05583768860413563
B,1650.0,2.5,3.603653066245622,0.4375000000000005,14057.762836432918,13602.875373728453,-454.88746270446427,35891.40539339399,39594.510754211806,3703.105360817819,0.04931481768550507,-0.006542520772321349,-0.05585733845782642
B,1660.0,2.5,3.602756397116645,0.4361111111111116,14018.336898238751,13563.358658415198,-454.97823982355294,35940.82467503885,39646.40815496937,3705.583479930523,0.04933179568337151,-0.006545450024677062,-0.05587724570804857
B,1670.0,2.5,3.60186306344419,0.43472222222222273,13978.899684488855,13523.848751428315,-455.05093306054005,35990.23044942093,39698.2058827138,3707.9754332928715,0.049349014400792195,-0.0065483964029833435,-0.05589741080377554
B,1680.0,2.5,3.600972748400909,0.43333333333333385,13939.453317961805,13484.344337216342,-455.10898074546276,36039.62493829908,39749.91244561238,3710.2875073133036,0.049366475076790775,-0.00655136035044018,-0.05591783542723096
B,1690.0,2.5,3.6000851217353937,0.43194444444444496,13900.000726696293,13444.843628090477,-455.1570986058159,36089.00989997777,39801.53731035206,3712.5274103742922,0.04938417920808552,-0.006554342380972166,-0.05593852158905769
B,1700.0,2.5,3.599199938190681,0.4305555555555561,13860.541779567133,13405.346628266085,-455.1951513010481,36138.38803667316,39853.08486740863,3714.696830735469,0.04940212752826115,-0.00655734272883335,-0.055959470257094496
B,1710.0,2.5,3.59831691575225,0.4291666666666672,13821.078222911767,13365.8523461534,-455.2258767583662,36187.7611282686,39904.5618264537,3716.8006981850995,0.04942032124511236,-0.006560361772811619,-0.05598068301792398
B,1720.0,2.5,3.5974357951874962,0.4277777777777783,13781.611098253628,13326.360178718955,-455.2509195346738,36237.13105685481,39955.97356960182,3718.842512747011,0.04943876142124032,-0.00656339982512073,-0.05600216124636105
B,1730.0,2.5,3.5965563358330077,0.42638888888888943,13742.140914801386,13286.869823843972,-455.27109095741434,36286.49973486471,40007.32438193866,3720.824647073954,0.049457449003880535,-0.006566457142290111,-0.05602390614617064
B,1740.0,2.5,3.5956782895501873,0.42500000000000054,13702.668511735348,13247.380778097218,-455.2877336381298,36335.86874098661,40058.61905509609,3722.7503141094785,0.049476385058052505,-0.00656953401932189,-0.0560459190773744
B,1750.0,2.5,3.594801430407214,0.42361111111111166,13663.194265822996,13207.892855022455,-455.3014108005409,36385.239659027924,40109.86101419153,3724.621355163603,0.04949557051966255,-0.0065726306772643985,-0.05606820119692695
B,1760.0,2.5,3.593925530409675,0.4222222222222228,13623.718605302513,13168.405807047055,-455.3127982554579,36434.613937946524,40161.053830752426,3726.4398928059018,0.04951500637294988,-0.0065757473526487555,-0.05609075372559864
B,1770.0,2.5,3.593050340696805,0.4208333333333339,13584.242324586685,13128.919056591334,-455.32326799535076,36483.99299715009,40212.202418780034,3728.2094216299447,0.049534693787522656,-0.0065788843714900125,-0.05611357815901267
B,1780.0,2.5,3.5921756626161834,0.419444444444445,13544.765312518386,13089.432741884946,-455.3325706334399,36533.378009618405,40263.308495777674,3729.930486159268,0.04955463359764202,-0.006582041870912991,-0.05613667546855501
B,1790.0,2.5,3.5913012932706616,0.4180555555555561,13505.287517795445,13049.946923051788,-455.34059474365677,36582.77006654269,40314.37402843989,3731.603961897199,0.049574826688024494,-0.006585220007197673,-0.05616004669522217
B,1800.0,2.5,3.5904270386516406,0.41666666666666724,13465.808711783506,13010.461777160363,-455.34693462314317,36632.170136876695,40365.400386109846,3733.230249233151,0.049595273894823745,-0.0065884189031089465,-0.05618369279793269
B,1810.0,2.5,3.589552705130751,0.41527777777777836,13426.328676644602,12970.97746685713,-455.3512097874718,36681.579090706226,40416.38887572733,3734.809785021105,0.04961597607126135,-0.0065916386804652045,-0.05620761475172655
B,1820.0,2.5,3.5886779773558253,0.4138888888888895,13386.849967531272,12931.492211578388,-455.35775595288396,36730.998042371044,40467.34859619193,3736.3505538208847,0.04963693511827755,-0.0065948799613936605,-0.056231815079671205
B,1830.0,2.5,3.5878027292841486,0.4125000000000006,13347.370882145417,12892.00719677487,-455.3636853705466,36780.427477137964,40518.27644714028,3737.848970002313,0.04965815139418734,-0.006598142600954859,-0.0562562939951422
B,1840.0,2.5,3.5869267724078897,0.4111111111111117,13307.891138852996,12852.522608991221,-455.36852986177473,36829.86795654073,40569.1732747972,3739.305318256469,0.04967962578744534,-0.006601426704670791,-0.05628105249211614
B,1850.0,2.5,3.5860499237088796,0.4097222222222228,13268.410341839271,12813.03870761921,-455.37163422006233,36879.31992772032,40620.039507608875,3740.7195798885587,0.049701359155897504,-0.006604732352979579,-0.05630609150887708
