cell,initial_soc,final_soc,initial_voltage_V,final_voltage_V,capacity_ah,contact_resistance_ohm,max_abs_positive_gradient_mol_m3,max_abs_total_overpotential_V
Cell 1,0.8,0.5499999999999992,3.982064065887455,3.802685738078857,5.0,0.012,3700.378954684493,0.060014630586120374
Cell 2,0.76,0.5048979591836726,3.945280337275225,3.7652475763011415,4.9,0.015,3700.3785681955706,0.05845160113107496
Cell 3,0.72,0.4540425531914884,3.9095096089426438,3.7271481232106707,4.7,0.022,3700.377425843122,0.05724692476410312
Cell 4,0.78,0.5274747474747465,3.9637701239323655,3.78438339046009,4.95,0.01,3700.3793452388454,0.05918350596294818
